position_rank,player_name,position,total_points,last_3_weeks_avg,week_11,week_12,week_13
52,Tyquan Thornton,WR,53.0,2.0,6.0,NULL,NULL
59,Cooper Kupp,WR,44.0,2.0,2.0,2.0,2.0
66,Jerry Jeudy,WR,41.0,2.0,2.0,2.0,2.0
74,Sterling Shepard,WR,38.0,2.0,5.0,1.0,0.0
125,Gunner Olszewski,WR,14.0,2.0,NULL,7.0,-1.0
126,Isaiah Bond,WR,14.0,2.0,0.0,5.0,1.0
132,Treylon Burks,WR,12.0,2.0,NULL,NULL,6.0
152,Gabriel Davis,WR,6.0,2.0,4.0,2.0,0.0
55,Jeremy McNichols,RB,36.0,1.67,2.0,NULL,3.0
42,Dawson Knox,TE,23.0,1.67,2.0,1.0,2.0
47,Tommy Tremble,TE,21.0,1.67,5.0,NULL,0.0
72,Ian Thomas,TE,7.0,1.67,2.0,3.0,0.0
54,Josh Downs,WR,50.0,1.67,NULL,1.0,4.0
93,Cedric Tillman,WR,27.0,1.67,5.0,0.0,NULL
105,Jahan Dotson,WR,23.0,1.67,4.0,NULL,1.0
154,James Proche,WR,5.0,1.67,NULL,4.0,1.0
156,Mason Tipton,WR,5.0,1.67,NULL,3.0,2.0
36,Jacory Croskey-Merritt,RB,73.0,1.33,2.0,NULL,2.0
67,Kyle Juszczyk,RB,20.0,1.33,2.0,NULL,2.0
26,Darren Waller,TE,38.0,1.33,NULL,NULL,4.0
28,Cade Otton,TE,37.0,1.33,2.0,2.0,0.0
44,Mitchell Evans,TE,22.0,1.33,2.0,NULL,2.0
53,Adam Trautman,TE,17.0,1.33,0.0,NULL,4.0
73,Mike Gesicki,TE,7.0,1.33,NULL,3.0,1.0
79,DeAndre Hopkins,WR,34.0,1.33,1.0,1.0,2.0
114,Tre Harris,WR,19.0,1.33,1.0,NULL,3.0
128,Ashton Dulin,WR,13.0,1.33,NULL,4.0,NULL
62,Samaje Perine,RB,26.0,1.0,NULL,NULL,3.0
68,Brashard Smith,RB,18.0,1.0,0.0,3.0,NULL
74,Cartavious Bigsby,RB,15.0,1.0,3.0,0.0,NULL
83,Hunter Luepke,RB,10.0,1.0,3.0,0.0,NULL
92,LeQuint Allen,RB,6.0,1.0,3.0,0.0,NULL
40,Austin Hooper,TE,23.0,1.0,NULL,3.0,NULL
43,Jackson Hawes,TE,22.0,1.0,NULL,2.0,1.0
55,Jeremy Ruckert,TE,16.0,1.0,2.0,NULL,1.0
64,Greg Dulcich,TE,9.0,1.0,1.0,NULL,2.0
77,John Mundt,TE,6.0,1.0,2.0,1.0,NULL
75,Calvin Austin,WR,36.0,1.0,0.0,3.0,NULL
100,Josh Palmer,WR,24.0,1.0,1.0,2.0,NULL
110,Devontez Walker,WR,20.0,1.0,NULL,3.0,NULL
130,Savion Williams,WR,13.0,1.0,3.0,0.0,NULL
131,Kalif Raymond,WR,12.0,1.0,NULL,3.0,NULL
141,Jack Bech,WR,9.0,1.0,1.0,NULL,2.0
169,Tom Kennedy,WR,3.0,1.0,NULL,NULL,3.0
170,Xavier Restrepo,WR,3.0,1.0,NULL,2.0,1.0
35,Dillon Gabriel,QB,78.0,0.67,2.0,NULL,0.0
54,Teddy Bridgewater,QB,2.0,0.67,0.0,2.0,NULL
52,Isiah Pacheco,RB,46.0,0.67,NULL,NULL,2.0
90,Christopher Brooks,RB,6.0,0.67,0.0,2.0,0.0
